no of sites,inc mat,freq breakdown,inacc cost,satisfaction,delay rate
72,64,62,50,83,80.65299999999999
53,41,73,50,54,66.02199999999999
77,70,81,30,33,70.853
98,88,68,80,84,101.8
66,60,83,50,62,78.20400000000001
32,30,35,64,50,51.406
72,97,97,94,50,99.85199999999999
32,41,34,60,78,59.733999999999995
49,73,31,32,99,69.265
78,72,84,95,50,92.275
76,42,35,98,75,79.369
90,49,32,64,65,73.021
59,43,62,50,88,73.60799999999999
38,95,88,72,95,94.619
44,87,65,96,58,85.27399999999999
33,33,97,44,45,61.423
69,49,46,68,41,66.447
88,87,54,61,95,93.798
36,77,40,89,88,80.447
72,80,99,59,82,95.527
88,33,89,41,88,82.587
72,76,66,47,60,78.193
70,41,53,72,37,66.437
80,53,46,61,85,79.164
55,75,56,53,47,69.668
40,63,92,40,30,64.57
34,88,79,34,42,67.52799999999999
47,82,65,89,69,85.774
95,43,46,32,93,75.267
97,35,43,88,43,74.425
81,93,79,79,91,103.062
61,62,62,33,34,61.367
98,56,91,100,87,105.199
63,81,87,97,82,99.899
30,75,56,73,79,76.31800000000001
54,91,55,67,56,78.693
76,76,67,98,95,100.37299999999999
42,93,79,60,32,74.552
53,88,61,54,33,70.389
32,75,99,90,64,87.75
58,69,76,94,75,90.633
69,90,62,50,46,77.206
33,67,75,50,38,64.094
51,99,62,72,76,87.742
71,53,31,55,66,67.213
77,93,69,61,59,87.44
98,84,95,80,88,108.392
53,67,69,82,67,82.351
81,68,75,73,76,90.85300000000001
42,32,97,95,78,83.835
70,38,43,64,95,75.53099999999999
90,50,58,100,92,94.97200000000001
85,60,73,74,77,89.869
48,59,66,38,45,62.375
60,37,92,77,46,75.97699999999999
78,50,43,85,73,80.108
53,94,44,68,42,73.31200000000001
74,80,96,52,32,81.328
85,64,42,49,93,81.12599999999999
43,75,63,97,96,91.169
68,92,45,68,63,81.843
85,69,80,58,47,82.535
82,76,35,70,54,77.168
34,47,79,36,91,70.01499999999999
38,53,69,39,97,72.206
66,52,62,85,45,75.468
87,39,98,31,47,73.53
58,61,32,96,40,69.856
79,34,80,82,70,84.00999999999999
78,90,56,87,98,99.65099999999998
37,68,90,36,80,75.854
54,66,36,32,80,65.332
70,44,59,34,53,63.318999999999996
37,72,49,40,41,58.242999999999995
65,67,97,57,45,80.62200000000001
45,73,100,87,82,94.333
44,73,100,81,47,84.058
95,87,92,65,93,105.246
72,94,85,82,97,104.791
61,39,30,44,47,53.805
46,88,76,90,56,86.738
91,66,46,37,93,81.12599999999999
69,43,71,32,78,71.39999999999999
68,66,51,75,39,72.78399999999999
90,54,77,69,91,92.806
41,49,53,59,81,68.992
86,43,81,91,78,92.291
42,61,83,65,60,75.795
75,72,36,52,98,81.148
89,49,75,90,74,91.794
75,93,54,53,99,91.152
96,77,64,98,70,98.6
73,50,67,53,99,83.348
70,78,31,43,64,69.66499999999999
100,83,83,36,59,87.907
39,84,60,36,95,76.597
30,83,53,68,62,72.158
46,63,64,66,61,73.10300000000001
32,30,48,76,74,63.373999999999995
70,96,31,33,40,65.747
30,64,52,60,87,71.45899999999999
33,69,44,52,69,65.099
90,68,55,90,30,81.012
99,65,66,77,83,94.96799999999999
57,90,79,92,63,92.821
94,32,99,33,87,84.04599999999999
42,37,62,61,47,60.658
39,95,92,97,42,88.92699999999999
68,54,73,87,45,79.61000000000001
45,45,86,35,78,70.469
42,37,38,62,81,63.375
79,45,78,78,62,83.274
94,78,84,86,77,102.03899999999999
32,44,82,64,52,66.78
100,89,52,44,56,83.01599999999999
75,81,96,92,35,92.269
59,97,36,52,64,75.04599999999999
84,40,74,73,64,81.56300000000002
36,71,82,35,30,61.898999999999994
89,74,90,79,32,88.59100000000001
65,64,80,36,58,73.824
87,45,38,90,46,74.446
91,54,67,64,41,77.143
43,85,33,68,45,66.747
52,91,76,74,70,88.464
76,95,48,84,77,92.56099999999999
41,67,43,82,54,69.918
98,76,92,50,55,90.333
43,98,100,47,62,85.329
39,75,48,99,55,76.982
100,44,73,82,43,83.209
63,100,66,57,41,79.646
57,46,74,81,57,76.722
58,73,100,33,39,73.822
43,91,68,43,51,72.146
31,98,64,50,97,82.945
48,35,35,79,70,65.043
89,31,97,83,62,88.12899999999999
41,62,86,46,85,78.03699999999999
63,34,55,37,62,61.142999999999994
88,32,83,83,56,83.24499999999999
86,37,46,32,56,62.55999999999999
56,86,97,32,96,89.5
82,89,86,57,34,84.725
96,67,46,87,93,94.72999999999999
72,70,90,55,78,88.939
43,65,39,34,94,67.074
52,100,96,75,52,91.37299999999999
88,79,98,65,68,96.93900000000001
47,99,49,44,70,75.328
40,41,41,52,38,51.634
68,87,76,95,79,98.66799999999999
33,71,59,73,54,70.675
44,64,69,57,78,76.06099999999999
77,98,97,80,68,102.314
73,91,58,89,97,99.414
75,50,59,50,38,66.20599999999999
37,84,32,37,99,70.50399999999999
46,73,65,38,43,64.57300000000001
65,41,77,60,54,72.33200000000001
55,59,62,83,78,82.113
43,79,68,88,33,75.743
84,71,68,35,80,82.34899999999999
60,80,49,70,58,77.216
36,41,95,49,93,76.588
47,81,48,48,88,76.074
58,89,97,65,84,95.795
74,64,76,53,76,83.56700000000001
81,84,54,92,55,89.10499999999999
59,43,67,89,78,81.85499999999999
72,61,31,92,72,79.868
78,97,87,32,97,95.31299999999999
52,38,40,80,92,73.596
32,40,85,58,73,70.223
51,52,36,65,55,63.083999999999996
46,86,31,74,47,69.17699999999999
62,45,95,94,67,88.42099999999999
87,72,79,30,76,83.808
90,36,92,53,73,83.77600000000001
68,46,31,99,96,82.821
64,60,67,61,63,76.734
65,82,52,77,88,88.697
100,69,90,32,37,79.837
96,83,81,36,97,95.761
77,90,87,91,96,107.455
70,57,56,83,93,87.466
85,47,83,55,51,78.14999999999999
51,59,36,96,38,68.16
33,57,44,85,45,64.31
99,52,59,37,32,67.873
87,47,94,87,70,93.749
99,31,89,44,75,82.305
94,52,100,81,77,98.38399999999999
82,49,73,87,78,89.863
42,49,74,65,88,77.531
40,71,64,55,99,80.24
68,62,84,72,67,85.99099999999999
30,69,31,90,48,65.29
35,61,30,57,30,51.875
69,88,64,64,30,76.68799999999999
100,42,50,55,81,79.858
76,82,62,30,85,81.643
44,94,56,75,94,88.503
56,49,88,83,100,91.649
58,65,70,39,95,79.72800000000001
41,49,78,95,73,81.88
75,63,31,98,69,81.805
86,67,30,42,83,75.02099999999999
80,93,68,34,66,83.07600000000001
91,63,31,61,84,80.36099999999999
63,74,78,75,47,82.074
85,66,51,34,89,79.185
76,64,99,97,58,95.94499999999998
73,42,63,55,51,69.146
79,84,47,78,72,87.676
42,71,65,44,87,75.355
43,43,51,91,43,65.99
40,53,51,55,65,64.346
88,59,82,87,36,85.661
45,87,61,65,53,75.782
95,40,58,71,95,87.43
52,63,72,90,100,91.894
91,86,33,32,93,81.619
62,86,80,90,41,87.423
36,51,87,73,68,76.783
95,30,84,77,86,90.58699999999999
58,41,40,95,33,64.97
35,56,91,41,36,63.121
94,75,72,69,36,84.203
94,70,43,87,71,88.85599999999998
81,41,52,65,86,79.15899999999999
39,98,31,61,37,64.80199999999999
67,34,32,88,63,69.137
76,53,41,48,75,71.36699999999999
79,83,84,49,76,90.393
72,82,62,58,59,81.109
82,63,69,87,36,82.013
75,91,73,51,73,88.44399999999999
31,93,89,31,88,81.003
66,60,35,32,61,61.873
47,88,53,80,31,72.813
90,31,69,71,96,86.953
71,34,65,88,93,85.50699999999999
81,61,54,80,45,78.12700000000001
32,70,57,36,73,65.365
76,35,44,83,54,71.06700000000001
93,46,69,51,75,81.334
87,60,86,34,77,83.80499999999999
89,68,32,93,57,82.502
74,99,63,63,75,91.12
54,100,95,85,52,94.04299999999999
31,70,74,48,33,62.387
93,96,72,82,80,103.024
93,76,44,49,81,83.538
89,53,41,41,69,71.342
32,88,54,78,72,78.986
76,88,48,44,92,84.808
84,73,62,80,81,92.553
80,51,52,80,66,80.10199999999999
85,52,55,98,59,84.94699999999999
70,63,90,94,40,86.914
34,84,83,90,30,78.196
45,53,44,84,99,79.22500000000001
36,95,51,79,90,85.583
98,63,71,50,63,83.997
50,68,81,54,83,81.91300000000001
81,38,46,78,97,82.81700000000001
65,39,56,65,89,76.51
36,63,34,39,65,57.782
90,64,71,93,92,99.85900000000001
45,68,57,60,78,75.08
93,88,95,75,95,108.65799999999999
94,69,43,37,95,82.34199999999998
46,63,41,78,78,74.572
77,59,48,55,36,66.927
99,46,42,73,35,71.744
79,31,61,76,36,68.85400000000001
38,67,36,77,94,76.06899999999999
83,53,34,98,30,72.478
98,39,58,59,86,82.791
72,30,94,86,65,84.503
59,87,97,77,31,85.47999999999999
83,79,30,76,59,79.60499999999999
74,55,75,87,80,90.369
49,62,81,53,100,84.12899999999999
53,59,99,84,53,84.77499999999999
38,63,73,77,95,84.36599999999999
98,93,37,73,76,91.795
82,73,38,41,45,67.91600000000001
50,84,45,32,68,68.01199999999999
47,80,75,52,77,80.695
73,74,74,84,33,82.27499999999999
66,95,34,56,73,78.941
60,84,100,55,48,84.541
34,40,65,48,74,63.641999999999996
96,77,37,74,79,88.385
79,39,85,93,44,82.753
77,46,83,61,99,89.18799999999999
71,82,71,52,75,85.52499999999999
57,49,58,32,98,71.68799999999999
70,75,51,53,72,78.203
38,87,53,36,35,60.679
81,81,62,99,73,96.436
76,40,85,57,83,83.078
100,77,95,33,70,91.33700000000002
94,59,74,82,61,90.071
93,33,93,33,94,84.299
90,98,70,59,76,95.729
39,57,71,79,68,76.52699999999999
47,55,45,68,51,64.793
58,90,60,100,61,89.881
88,86,57,35,62,79.883
60,93,89,96,95,105.531
75,57,38,58,36,64.244
98,76,95,65,41,91.28
44,62,42,94,71,76.261
62,38,48,93,31,66.182
72,90,69,43,92,89.209
58,74,74,70,89,88.963
91,92,71,57,95,98.91999999999999
64,65,44,51,55,67.952
79,88,38,53,60,77.441
88,31,41,78,90,79.868
63,96,73,99,61,95.48400000000001
54,86,48,67,79,81.39999999999999
42,67,86,33,44,66.29499999999999
77,51,59,74,98,87.466
85,83,73,95,97,105.484
45,82,66,100,47,82.817
37,65,87,85,52,79.437
62,50,94,98,94,96.98400000000001
86,47,64,56,43,72.039
96,41,57,41,66,73.277
35,66,69,78,91,82.65899999999999
36,94,57,82,59,79.937
52,79,77,83,64,86.49699999999999
37,66,40,64,53,63.355
43,68,91,56,75,81.185
60,54,52,72,32,65.72
47,71,93,64,54,80.17200000000001
97,53,95,61,81,94.25399999999999
50,38,97,58,72,76.774
32,34,35,67,67,57.275999999999996
51,59,82,36,35,64.06899999999999
42,80,44,34,65,64.607
44,80,32,47,68,66.057
43,87,67,51,32,68.215
41,91,98,68,54,85.79200000000002
82,87,90,65,57,92.792
61,94,44,87,35,78.14999999999999
77,93,89,35,82,91.637
91,33,38,67,48,67.387
80,60,95,75,64,91.08500000000001
60,96,57,31,70,76.535
92,67,86,46,72,88.41399999999999
77,86,69,37,54,78.675
67,73,65,39,92,81.90299999999999
50,57,64,35,95,73.404
82,70,35,34,77,72.591
69,67,32,44,95,74.821
45,62,54,71,47,67.962
100,78,91,34,88,95.25800000000001
91,79,33,51,78,80.85300000000001
98,45,74,58,90,88.89599999999999
95,65,77,66,32,81.51599999999999
100,43,100,61,32,81.755
76,74,45,40,52,69.88799999999999
93,34,80,50,99,86.727
85,99,32,51,38,74.237
99,47,34,81,92,85.945
34,52,44,30,74,57.072
74,59,52,66,61,75.975
62,75,62,89,52,82.79899999999999
77,87,59,54,40,77.17999999999999
54,86,61,54,39,71.613
51,73,71,93,44,80.857
94,91,56,94,82,101.548
100,79,72,48,96,96.228
43,38,44,82,40,60.14
72,97,56,41,33,72.80399999999999
88,92,88,41,66,91.349
100,92,97,31,95,101.124
87,50,34,81,90,83.283
92,57,44,49,79,78.17
70,67,64,44,77,78.461
37,40,39,48,43,50.429
68,89,85,53,58,86.00099999999999
91,92,55,86,77,97.65299999999999
97,72,31,48,80,79.87
55,100,78,61,79,90.92
71,47,48,91,88,84.035
32,83,100,64,38,77.25800000000001
43,59,36,93,63,71.62
44,57,88,44,73,74.60499999999999
82,31,87,72,43,76.66699999999999
80,81,37,75,91,88.672
81,100,78,98,62,102.03799999999998
88,33,56,54,57,70.099
74,80,61,40,57,75.997
52,99,80,61,54,84.313
94,69,70,85,83,97.654
57,54,56,55,72,71.63900000000001
92,71,61,79,47,85.184
73,83,57,53,47,76.22
38,47,41,48,32,50.172
58,57,82,52,75,78.963
44,99,50,56,82,80.70200000000001
51,47,95,58,53,74.06899999999999
69,35,41,86,94,79.17
65,63,97,38,83,84.339
78,65,91,77,74,93.78099999999999
34,63,43,91,82,76.295
73,69,89,56,99,94.08099999999999
81,74,30,91,96,90.611
31,73,47,39,100,70.759
36,50,86,66,58,72.14399999999999
88,58,94,42,71,85.985
33,96,66,88,80,88.49799999999999
30,57,88,87,35,72.356
95,81,49,72,88,93.76599999999999
96,32,84,66,73,85.459
30,97,69,78,80,86.31799999999998
54,30,57,43,60,59.44499999999999
62,39,85,78,76,82.834
50,91,80,45,76,83.379
83,42,52,96,81,86.195
55,90,77,63,41,79.41199999999999
39,78,68,64,60,75.314
46,96,51,82,73,84.811
86,66,68,68,36,78.852
64,42,38,69,76,70.395
98,99,88,44,77,98.901
94,38,81,41,76,80.36699999999999
54,44,57,64,69,70.16900000000001
38,54,85,74,88,82.654
74,49,92,82,55,85.713
96,66,85,83,48,92.005
61,97,71,70,95,96.03899999999999
44,53,46,70,95,75.089
92,100,46,100,84,102.768
49,36,61,40,98,69.256
80,89,46,99,60,91.057
93,77,41,66,83,87.67099999999999
39,82,72,49,74,77.05099999999999
65,93,42,69,70,82.58699999999999
33,53,49,68,57,63.363
84,54,80,60,80,87.20400000000001
98,53,85,64,48,84.7
46,67,31,31,63,58.012
97,71,55,34,53,75.465
55,33,50,31,65,57.019999999999996
86,99,91,77,83,106.21799999999999
41,32,77,39,84,66.575
74,31,74,99,36,76.405
54,55,38,56,73,67.25299999999999
91,84,90,58,55,92.047
71,48,87,93,78,91.831
30,72,37,39,51,55.827999999999996
57,39,34,96,95,78.209
80,39,61,81,44,74.223
74,58,47,88,61,79.857
76,50,90,70,78,88.672
59,84,88,45,32,75.021
53,38,78,73,95,82.144
54,94,76,69,63,86.75
69,67,36,34,59,64.547
42,51,98,84,62,82.12199999999999
36,58,90,99,42,79.17099999999999
89,69,37,47,70,75.97299999999998
76,88,87,58,44,85.966
84,70,100,44,58,86.71
76,81,79,43,41,77.926
95,83,37,87,75,91.786
84,99,55,91,75,98.392
87,50,100,50,37,78.869
98,37,54,57,99,84.026
65,63,64,93,38,78.62700000000001
84,66,99,41,44,81.331
52,90,33,84,39,72.56299999999999
65,66,88,90,54,88.406
58,90,59,75,68,85.277
81,63,30,91,47,75.92200000000001
49,65,42,55,96,74.851
50,38,36,37,79,58.501999999999995
99,56,50,30,32,64.952
86,70,65,73,38,80.801
45,74,87,66,58,80.422
60,82,87,72,87,94.567
34,69,30,49,83,64.626
35,33,82,80,49,67.975
68,56,35,96,94,85.018
55,46,38,89,77,74.29799999999999
45,77,80,81,49,80.886
52,63,57,62,89,78.73499999999999
72,93,68,67,57,86.95400000000001
84,77,54,86,76,91.81
51,67,63,69,66,76.999
68,78,83,32,86,84.58599999999998
37,65,46,92,88,79.954
34,35,30,67,75,58.744
51,44,76,41,94,74.61500000000001
88,77,96,42,46,84.984
33,84,37,65,33,61.39
64,39,59,58,84,74.074
78,33,63,48,99,78.219
89,33,79,72,58,80.57199999999999
59,30,66,62,68,69.428
100,36,95,84,51,89.071
30,92,95,57,78,85.849
73,95,97,45,79,94.80400000000002
55,66,88,54,61,78.953
82,99,80,76,75,100.363
34,54,52,74,58,66.28399999999999
83,95,73,71,32,86.171
87,95,53,75,44,86.17099999999999
71,94,89,58,73,93.81299999999999
64,70,46,47,87,76.528
75,52,86,31,60,74.05499999999999
83,62,98,59,76,92.083
43,51,53,45,39,56.272
68,87,43,38,65,73.335
78,96,57,66,63,87.681
93,100,44,37,71,84.02799999999999
84,34,55,78,37,70.063
89,71,65,80,43,84.69699999999999
39,60,48,57,63,65.076
53,99,90,65,97,98.502
62,84,96,82,87,100.16499999999999
78,74,93,89,47,92.766
54,34,78,33,51,60.91
97,93,64,75,72,97.64699999999999
60,94,83,79,69,93.81
51,84,82,51,83,85.57399999999998
100,53,41,59,44,72.253
36,72,91,36,66,73.40199999999999
95,89,67,97,38,93.935
63,68,53,77,93,86.26599999999999
31,95,36,100,72,81.40599999999999
36,39,97,77,43,71.142
89,35,70,50,54,72.538
97,79,32,55,44,74.703
76,96,35,51,90,84.799
52,82,81,34,40,70.41799999999999
35,64,87,79,63,79.946
58,37,62,99,41,72.294
31,67,59,93,56,74.565
73,30,35,34,33,49.873
46,71,66,73,55,75.77399999999999
92,53,58,41,46,70.581
70,82,54,78,52,81.818
44,81,81,91,41,82.334
69,64,69,31,59,71.138
98,52,47,42,58,72.288
56,80,57,55,62,75.53500000000001
97,47,72,98,67,92.739
98,69,82,71,95,101.088
46,61,76,44,86,76.322
95,67,52,45,54,76.191
92,73,78,33,47,78.64200000000001
47,37,61,52,63,63.357
87,85,48,34,63,77.203
60,61,39,89,45,71.572
92,44,54,95,38,78.571
59,50,59,62,80,75.53999999999999
69,40,37,61,39,59.864
43,48,55,91,78,76.761
68,99,65,69,42,83.529
99,63,100,70,70,97.88999999999999
43,50,33,44,37,50.41499999999999
96,39,91,82,51,87.373
88,82,84,87,75,101.316
60,69,86,90,61,89.155
39,34,40,73,53,58.218
58,78,53,38,51,67.729
62,54,69,77,47,75.24199999999999
49,73,91,30,93,81.949
83,59,44,95,48,80.063
70,76,42,65,43,72.062
87,63,63,32,99,83.829
35,74,70,95,75,85.066
52,73,100,76,81,93.109
87,93,57,40,78,86.484
66,76,70,74,73,87.463
80,37,88,71,76,85.733
41,35,40,38,89,59.261
55,76,55,31,42,63.097
54,30,80,100,39,73.763
48,61,44,96,84,81.144
99,42,38,30,37,59.83299999999999
45,37,89,59,62,71.161
80,77,59,70,37,78.619
37,98,58,38,45,67.277
84,35,42,98,45,73.955
80,74,60,80,61,86.441
65,43,90,83,64,84.031
66,53,74,49,78,77.977
74,71,36,70,90,83.076
76,100,34,64,43,77.175
34,68,47,85,56,70.663
65,63,58,74,58,77.446
34,48,58,81,35,62.349999999999994
79,57,39,37,48,63.29299999999999
58,35,63,65,43,64.278
35,37,97,45,72,69.741
69,58,37,38,98,73.122
61,64,70,88,48,80.602
36,51,96,56,98,82.19800000000001
42,59,43,33,99,67.326
97,61,91,57,93,97.19800000000001
85,32,38,99,52,74.44699999999999
37,39,57,91,70,71.64099999999999
72,76,82,96,43,89.839
57,59,49,81,58,74.039
46,59,36,59,99,72.904
83,35,98,59,92,89.41499999999999
88,100,54,67,44,85.93299999999999
56,93,76,85,42,85.733
89,78,89,83,95,105.72999999999999
74,55,91,55,100,91.397
36,94,85,35,32,68.733
86,61,46,94,78,88.872
99,75,68,85,65,95.42999999999999
67,95,76,84,79,97.705
72,60,39,39,73,68.94200000000001
84,59,59,51,68,78.173
99,32,59,71,38,72.725
36,93,31,42,71,66.569
63,97,53,96,91,97.46900000000001
70,98,81,47,99,96.292
30,86,72,57,99,83.91799999999999
64,62,91,31,76,78.973
91,91,55,36,54,79.62400000000001
55,35,56,31,97,66.812
64,72,52,96,92,91.612
89,87,58,57,87,92.084
90,85,48,45,41,75.212
65,83,40,56,40,69.14999999999999
63,89,41,30,99,78.511
85,53,79,37,85,82.59400000000001
90,47,48,67,67,77.656
65,92,61,48,70,81.876
38,70,97,46,67,77.53699999999999
50,57,66,51,96,78.02499999999999
69,46,32,42,90,67.986
55,62,34,59,84,71.651
63,38,39,83,33,62.288000000000004
51,72,66,61,93,83.622
50,93,100,100,44,94.272
67,89,54,66,59,81.599
44,48,35,96,60,68.928
71,63,53,39,53,67.94800000000001
41,52,73,78,33,67.461
43,97,36,77,50,73.81899999999999
87,56,95,40,72,85.258
41,49,52,97,57,72.102
70,71,75,30,87,81.169
34,83,82,86,41,79.431
88,62,39,83,70,83.25899999999999
53,68,54,32,75,68.745
33,46,80,49,57,64.602
68,97,92,84,35,91.559
96,64,57,85,44,84.191
34,55,34,42,75,58.525
89,44,87,63,56,82.53099999999999
43,93,97,59,46,82.37299999999999
97,96,56,57,50,86.663
70,56,42,71,41,68.14999999999999
75,49,74,35,70,73.81700000000001
39,69,75,61,88,80.957
70,62,34,35,56,62.589
64,48,59,74,31,67.173
68,32,79,58,35,66.209
34,82,87,98,91,95.573
66,78,93,50,51,82.34100000000001
99,60,77,88,86,99.84
69,67,32,71,88,79.667
84,35,93,65,42,77.64500000000001
65,49,70,69,100,86.033
74,98,45,96,83,96.463
72,67,56,73,66,81.345
98,55,51,77,59,82.746
93,79,96,75,37,92.49599999999998
96,95,58,33,50,80.833
100,42,37,85,49,76.136
98,56,40,40,84,77.44
37,48,32,63,86,64.85300000000001
100,54,86,53,72,88.879
76,36,38,79,70,72.79499999999999
34,54,38,50,45,53.851
50,70,38,84,58,73.074
43,40,38,77,59,62.60399999999999
78,51,52,53,76,75.50699999999999
85,59,70,50,71,81.591
85,60,81,49,97,90.646
48,76,68,61,65,77.5
69,64,99,99,76,99.147
75,77,97,73,42,88.63499999999999
70,51,95,50,54,77.944
57,59,54,96,71,82.089
98,43,75,30,33,67.883
93,55,96,75,69,94.48
45,99,36,70,50,73.09
55,58,76,92,37,77.42699999999999
81,79,76,76,62,91.08
33,90,99,56,42,78.0
100,96,95,59,83,105.476
35,83,46,99,74,82.133
84,71,97,87,87,103.776
84,70,64,51,57,79.382
79,68,64,43,84,82.35499999999999
70,62,38,98,62,80.344
58,52,71,55,83,77.74799999999999
62,51,94,86,64,86.96199999999999
94,80,72,57,80,93.287
82,54,57,99,87,92.3
77,30,93,40,39,67.92099999999999
33,100,34,79,36,68.69899999999998
40,91,66,58,89,83.887
95,79,34,35,70,76.21699999999998
94,33,58,45,35,64.462
57,73,33,55,98,77.033
88,38,43,46,39,61.79299999999999
40,79,72,97,73,87.97999999999999
56,55,48,34,98,70.95599999999999
67,76,67,93,100,98.205
80,97,67,69,86,97.213
51,81,64,94,84,91.14399999999999
76,86,82,31,50,79.167
95,69,94,36,48,83.27
84,54,91,72,44,83.984
98,37,49,66,56,74.458
67,45,86,47,40,69.399
70,40,94,45,97,84.336
69,54,86,35,46,70.633
90,38,71,31,55,69.384
59,52,35,62,72,68.212
74,44,55,51,77,73.322
46,81,90,71,52,82.849
53,91,99,41,77,88.014
30,79,83,76,31,72.851
68,73,46,32,85,74.093
58,43,89,69,48,74.771
48,38,87,82,54,75.272
76,40,46,55,35,61.316
83,42,90,85,74,91.079
32,50,71,74,35,63.825
45,72,47,57,61,68.72200000000001
73,35,57,31,67,64.062
54,40,33,33,43,49.434
81,67,89,38,42,77.19
